,Ann. Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Ann. Turnover
Dynamic (gross),0.0649,0.065,0.9992,1.313,-0.1302,0.4981,3.8901
Dynamic (net of costs),0.0607,0.065,0.9396,1.235,-0.1338,0.454,3.8901
